Timestamp start: 1715965429260
Timestamp end: 1715966089800

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      367.5   255.6    68.9   127.4   148.4   341.5   426.8   473.3   507.2   546.7   596.5   673.3   907.4  2549.0  7963.8  51235.9    51267
read      358.1   498.9    74.4   130.9   152.7   317.7   381.0   421.7   454.8   496.5   553.0   643.1   858.5  5359.1 27965.6  11927.1    11822
read      529.8   502.8    68.9   168.6   217.1   458.2   544.2   598.6   646.5   728.2   875.6  1099.4  1920.5  4719.6 15729.9  97552.4    97494
read      397.9   344.4    68.9   140.5   168.7   358.4   442.3   490.9   528.1   575.7   641.6   759.9  1068.5  3223.6 12653.3  97213.5    97350
read      365.8   280.8    63.8   128.0   148.1   337.7   424.1   471.7   506.0   545.6   594.5   668.5   873.1  2636.3 10170.4  55392.6    55460
read      367.0   314.4    63.8   131.5   154.6   332.1   413.8   461.7   498.3   542.8   603.5   697.6   916.3  2687.3 10916.7  85908.0    85984
read      370.6   293.0    63.8   131.4   154.3   334.5   417.7   466.8   504.3   549.4   612.1   706.6   940.3  2564.0  9482.6  82104.4    82043
read      364.8   297.9    68.9   126.7   147.1   336.4   421.7   468.4   503.1   542.7   591.9   665.8   884.3  2672.0 13008.9  52919.1    52873
read      363.6   471.8    74.4   127.7   148.1   317.7   391.4   438.2   475.7   523.7   584.1   671.1   926.3  5723.5 20546.4  13969.1    13911
read      361.4   228.0    68.9   125.9   146.8   337.0   418.2   462.6   495.2   533.9   583.3   659.6   942.3  1997.2  7062.7  49938.1    49984
read      341.7   541.1    74.4   124.5   149.1   301.9   360.6   396.6   423.1   453.0   489.5   543.1   799.6  7278.0 30289.1   9277.6     9274
read      364.4   454.9    68.9   127.5   148.0   323.9   398.3   444.0   477.0   515.5   562.1   638.4  1082.7  5222.0 23827.8  27221.7    27187
read      342.6   362.5    74.4   131.1   151.3   312.8   384.3   423.5   450.7   480.6   516.9   577.9   937.7  4373.8 13235.3  18690.8    18735
read      400.1   407.5    68.9   137.7   163.2   353.5   438.4   489.1   528.1   576.6   641.5   753.7  1153.2  4394.2 13936.7  86553.2    86505
read      376.7   290.6    63.8   135.8   161.1   342.0   424.7   472.3   509.0   555.1   617.5   717.6   945.0  2350.2 10088.4  93153.1    93039
read      380.1   329.3    68.9   130.9   153.7   342.5   428.4   478.1   515.9   562.1   623.6   722.4   995.8  3598.5  9687.2  75879.5    75999
read      356.3   302.2    68.9   125.2   145.5   327.3   402.7   448.6   481.7   520.8   568.3   638.5  1015.9  2903.7 10138.8  32404.7    32324
read      368.9   274.1    68.9   131.2   154.4   335.5   418.0   466.0   502.9   547.7   609.3   704.0   926.2  2439.5  9062.8  84287.1    84255
read      379.6   288.3    68.9   133.4   157.1   341.2   426.2   475.6   513.1   559.3   622.1   721.8  1018.3  3198.6  9433.1  81859.1    81759
read      364.8   379.3    68.9   127.4   148.6   335.6   415.4   461.9   495.8   534.5   581.4   654.1   948.1  2683.8 13637.6  37345.5    37291
read      366.7   247.1    68.9   128.1   148.6   340.6   427.8   476.1   510.5   550.1   599.4   672.9   875.2  2224.4  8667.6  53695.6    53818
read      347.1   273.6    68.9   126.1   147.2   322.7   397.4   441.3   472.3   508.3   550.4   617.5   798.8  2035.3  9773.2  30318.0    30297
read      338.7   230.8    68.9   126.3   147.6   318.0   392.2   436.1   467.2   501.6   541.4   595.0   726.0  1271.5  9544.4  31598.0    31569

Total QPS = 51716.5 (34132872 / 660.0s)
