Timestamp start: 1715964060719
Timestamp end: 1715964721238

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      378.2   920.7    80.4   140.1   169.1   304.4   351.4   377.4   397.3   421.8   454.1   507.5  2354.3 10198.3 32358.1   7379.2     7434
read      372.7   397.6    68.9   128.1   148.4   324.2   408.8   459.5   497.4   542.7   602.0   694.1  1314.0  4060.4 13099.5  67222.4    67201
read      374.7   317.5    63.8   132.1   154.8   327.5   408.9   459.0   497.5   545.3   612.1   721.2  1309.2  3230.7  7938.9  85918.2    85927
read      363.0   408.2    68.9   128.6   148.4   328.4   414.3   464.1   500.6   542.4   593.8   671.6   894.1  2381.6 19857.7  63883.6    63953
read      336.9   295.2    68.9   122.5   141.8   313.5   385.1   429.1   462.1   499.6   542.7   601.0   741.8  1615.2 11552.3  31591.8    31595
read      361.8   271.5    63.8   132.3   154.8   327.1   406.6   455.4   492.5   538.5   600.3   691.9   916.0  2125.2  8955.8  87880.2    87879
read      351.9   809.3    68.9   138.7   166.0   294.7   338.6   363.3   381.4   402.7   432.6   481.9  1365.5  9749.8 32302.4   7288.9     7287
read      366.4   289.3    68.9   127.7   147.7   323.0   406.3   456.4   493.5   537.9   593.9   687.8  1391.2  2380.8  9905.7  62145.4    62295
read      326.8   767.8    74.4   137.4   165.2   281.8   320.9   343.2   360.1   379.5   405.1   453.9  1021.0  7693.5 31692.9   6556.5     6561
read      338.2   366.0    68.9   126.4   146.7   301.5   373.4   416.8   447.7   482.9   527.6   617.6   958.4  3952.6 11274.1  22546.6    22532
read      354.2   299.3    68.9   126.2   146.2   326.1   409.3   457.4   492.1   532.6   583.0   654.4   866.9  1966.9  8152.7  60875.4    60653
read      353.6   223.7    68.9   127.5   146.9   326.5   410.7   459.0   494.2   534.6   583.7   653.6   863.0  1835.5  7220.0  59266.2    59076
read      356.8   307.2    68.9   126.7   146.7   326.6   409.0   458.1   493.4   534.3   584.1   656.1   882.7  2223.7 13412.6  60150.2    60154
read      321.7   320.6    68.9   126.1   145.9   296.4   364.7   404.2   433.1   463.9   500.1   548.7   687.1  3793.8 11105.4  22963.7    22964
read      358.4   940.5    74.4   133.3   160.0   301.1   351.5   380.2   400.8   426.6   458.2   506.4  1099.1  9553.7 40397.3   8189.1     8172
read      354.5   350.8    63.8   125.8   145.9   311.7   384.5   432.5   468.2   508.7   564.4   688.8  1078.4  3904.5 12079.7  27613.7    27652
read      347.4   238.4    68.9   125.6   145.4   327.3   400.1   444.0   476.6   514.1   559.1   624.8   826.6  1658.7  8714.7  37580.3    37594
read      326.4   248.4    68.9   126.7   146.9   303.1   371.9   413.4   443.0   475.1   512.9   568.4   713.5  2286.6  9853.9  24254.7    24367
read      342.5   301.4    68.9   124.4   144.0   318.4   392.3   436.9   469.4   506.7   549.1   608.9   773.6  1782.5 12975.3  33654.7    33771
read      364.4   243.3    68.9   132.5   154.5   328.6   410.4   460.1   498.1   544.2   605.3   697.2   947.4  2121.8  7354.7  85008.3    84944
read      363.7   306.6    68.9   133.8   155.7   327.8   409.0   458.0   495.9   542.4   603.1   692.1   902.4  2612.9  9185.9  85811.5    85666
read      359.4   290.5    68.9   127.5   146.8   331.7   416.8   465.4   500.6   540.2   587.2   654.0   848.0  2171.9  9722.7  51869.3    51918
read      344.5   255.6    68.9   124.4   143.7   318.7   397.8   445.0   478.1   515.3   557.6   616.0   765.4  2663.4  8025.9  34382.1    34406
read      356.0   324.0    68.9   128.4   148.2   323.3   400.5   446.8   479.6   516.4   559.8   626.0   969.1  4017.5 14200.9  28743.1    28664
read      357.7   256.3    68.9   129.0   149.2   332.8   409.6   454.9   488.0   526.6   574.2   641.3   896.4  2054.4  9205.9  38226.8    38289
read      329.4   319.6    74.4   130.7   151.0   302.2   369.7   408.6   436.2   467.0   504.4   560.0   733.9  4210.7 11667.7  20618.5    20658
read      360.1   444.1    74.4   137.7   158.3   320.3   386.6   426.2   457.1   496.4   552.7   659.7   924.6  4716.6 19537.2  13894.1    13840
read      374.2   329.7    68.9   136.2   160.3   335.8   417.6   466.1   503.4   549.3   613.2   713.1   933.9  3443.2 12171.0  93335.4    93419
read      376.8   248.8    63.8   140.9   166.7   341.9   423.5   471.9   509.4   555.7   617.9   716.4   942.8  2014.1  7993.0  98359.9    98284
read      374.2   303.8    68.9   132.2   153.8   337.8   424.6   475.7   514.2   559.5   619.2   710.6   943.4  3535.5  8822.9  71424.6    71313
read      363.5   269.6    68.9   128.9   149.0   338.7   421.0   467.6   502.0   541.4   588.9   657.0   856.1  2733.3  8596.2  42086.2    42089
