Timestamp start: 1715966293605
Timestamp end: 1715966954104

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      363.5   775.9    74.4   141.8   166.4   302.6   352.6   379.9   399.4   423.1   453.4   504.9  1646.1 10345.5 31628.2   7463.2     7434
read      363.7   390.3    63.8   122.9   141.5   302.0   389.9   441.2   479.3   525.8   586.6   702.6  1751.8  3162.6 10902.7  67313.8    67201
read      354.3   305.0    68.9   126.1   146.7   308.5   394.7   445.8   483.5   528.3   585.8   681.5  1019.5  3257.4  8948.3  85956.6    85927
read      347.3   212.6    68.9   124.6   143.5   314.6   403.9   455.8   492.6   534.3   585.6   665.4   858.0  1818.5  5839.6  63934.6    63953
read      337.5   308.1    68.9   120.3   139.3   306.9   390.7   438.7   472.6   509.9   553.0   615.3   755.4  2918.8 11811.4  31500.1    31595
read      350.4   305.7    68.9   126.6   147.2   308.5   394.9   446.2   483.8   528.7   585.3   676.7   921.1  2589.4 10321.3  87918.8    87879
read      342.6   704.9    74.4   137.4   162.7   293.4   339.4   364.5   382.6   403.3   432.6   481.2  1147.4  9442.2 31542.6   7297.0     7287
read      359.5   335.8    68.9   121.1   139.5   300.9   389.6   441.5   480.0   525.8   584.7   689.5  1740.8  2471.0 10146.3  62230.7    62295
read      346.8   864.1    80.4   138.2   162.9   283.2   324.9   346.7   363.6   382.9   407.8   456.0  1229.4 11485.8 31915.8   6515.2     6561
read      345.2   387.1    68.9   122.9   142.3   299.6   383.3   430.3   462.9   500.7   549.9   651.5   952.9  5099.5 15566.4  22504.1    22532
read      346.8   274.1    63.8   123.0   142.2   313.7   401.7   451.7   487.0   527.9   578.6   655.8   853.7  2068.4  8900.8  60799.3    60653
read      348.6   273.3    68.9   122.5   141.5   313.9   403.3   454.0   489.6   530.9   582.1   662.3   869.4  2186.6  9662.7  59103.2    59076
read      349.9   255.0    68.9   123.3   142.2   315.5   405.7   457.1   493.1   534.6   585.4   666.8   876.8  2229.0  8103.3  60190.3    60154
read      325.7   367.9    68.9   123.4   142.8   297.2   374.1   417.4   446.6   477.8   513.1   566.0   692.8  4010.6 12510.7  22964.0    22964
read      328.6   586.6    68.9   128.2   152.3   288.7   338.8   365.9   385.4   407.7   437.3   486.3  1053.8  7863.7 29207.8   8253.5     8172
read      332.6   362.4    59.1   119.2   138.4   298.4   374.8   419.9   452.3   488.4   532.7   599.4   895.6  3921.9 12270.8  27719.7    27652
read      335.6   254.9    68.9   119.2   138.0   308.4   390.6   436.7   469.7   507.0   551.3   618.1   776.8  1587.2  8896.9  37635.2    37594
read      320.9   244.7    68.9   121.3   140.5   296.4   371.9   415.1   444.7   476.4   513.9   568.3   704.4  2017.3 10011.4  24226.7    24367
read      339.4   294.4    63.8   120.3   139.6   310.3   395.4   443.4   476.8   514.2   557.9   622.0   772.3  1636.5 10514.4  33681.3    33771
read      359.3   258.3    63.8   128.4   149.9   319.0   408.7   461.8   500.2   544.7   602.8   696.3   953.5  1995.9  8688.4  84973.8    84944
read      347.6   280.6    68.9   126.1   146.3   308.1   394.5   445.9   483.2   526.8   581.5   671.7   905.4  2457.6  9502.4  85662.2    85666
read      344.7   245.4    63.8   121.6   140.3   313.7   401.8   451.2   486.0   525.6   574.3   646.6   816.8  1914.9  8847.3  51865.2    51918
read      334.4   232.8    68.9   120.5   139.2   307.0   390.2   437.3   469.8   507.0   550.7   616.7   773.9  1623.7  7966.3  34440.4    34406
read      356.2   420.6    68.9   124.9   144.9   313.7   396.2   443.1   475.9   513.0   558.0   631.4  1079.9  5045.0 17779.9  28703.9    28664
read      352.1   321.5    68.9   124.5   143.8   322.2   406.3   453.8   488.2   527.8   574.9   639.9   820.5  2175.2 13250.3  38232.0    38289
read      329.8   337.5    68.9   128.2   147.8   302.8   379.9   421.8   449.4   479.1   513.4   563.5   715.4  2632.8 12683.6  20669.4    20658
read      356.9   451.9    74.4   133.0   153.4   315.5   384.2   423.9   453.4   488.9   537.3   622.0   922.3  6179.6 15398.2  13894.0    13840
read      404.9   382.7    68.9   134.8   159.2   345.9   448.2   510.1   554.6   607.2   676.5   803.5  1250.7  4524.2 11065.7  93486.1    93419
read      375.8   322.2    63.8   134.4   158.5   333.6   421.3   473.3   511.8   558.3   620.9   728.3  1016.8  2391.5 10973.3  98096.6    98284
read      361.5   304.1    68.9   127.2   147.3   320.7   412.1   465.2   503.0   546.3   601.7   690.5   926.1  3295.7 10154.5  71411.0    71313
read      354.3   284.2    68.9   124.4   144.0   324.4   412.1   460.9   494.8   533.6   581.3   652.9   819.7  2830.6 10407.0  42061.4    42089
read      359.7   275.3    63.8   125.4   144.8   328.3   419.9   469.4   504.4   544.0   593.1   669.9   859.3  2724.4  8622.4  46351.5    46458
read      347.1   368.5    68.9   123.8   143.0   314.0   396.3   444.6   477.8   514.4   558.4   621.8   786.2  3907.1 12344.1  30572.9    30755
read      348.4   268.5    68.9   122.8   142.2   320.0   405.7   453.6   486.8   525.1   571.7   639.5   793.9  2334.0 10173.6  42882.8    42889
read      361.0   283.1    68.9   131.7   154.7   322.9   404.7   457.3   496.8   542.8   603.1   694.3   914.1  2532.0  8282.0  93489.6    93552
read      356.1   280.0    68.9   125.6   145.3   318.4   409.5   462.7   500.4   542.4   594.8   679.1   881.5  2848.6  8241.4  65743.9    65694
read      339.9   318.4    63.8   123.6   143.1   311.8   390.5   435.6   467.4   503.6   545.5   607.6   770.1  3235.3  9818.8  29573.3    29574
read      359.6   271.0    68.9   126.1   145.2   326.9   418.9   470.0   506.9   547.7   597.5   675.0   858.5  2276.0  8769.6  51349.6    51355
read      359.0   306.7    68.9   128.0   147.1   319.4   411.8   464.0   500.9   542.7   594.2   678.6   887.7  3473.9  9269.3  67433.2    67361
read      327.5   306.0    74.4   133.1   152.7   309.5   379.7   415.7   439.3   464.8   495.3   538.2   652.2  3317.6 11367.8  16337.3    16287
read      357.1   266.1    63.8   129.7   150.5   318.5   407.1   460.1   498.4   542.7   598.0   686.4   900.0  2229.9  8906.5  81365.0    81508
read      359.8   319.1    68.9   130.6   152.3   319.2   404.2   457.2   496.5   542.8   600.8   689.6   903.6  3112.9 11573.3  87532.6    87619
read      367.9   296.8    63.8   135.7   159.9   328.6   413.0   464.8   503.5   549.0   610.4   706.9   943.7  1860.6 11078.7  98975.2    99068
read      358.6   284.8    68.9   125.8   145.4   325.7   416.4   466.3   502.4   543.5   594.2   673.2   864.8  2903.1  8660.0  51401.5    51267
read      344.3   384.5    74.4   135.5   156.1   312.4   373.4   407.4   432.9   466.0   510.9   585.0   900.7  5023.1 16611.6  11902.0    11822
read      479.8   433.5    68.9   149.2   181.7   388.6   487.8   547.0   593.9   664.9   791.9  1265.8  1962.9  3078.6 12537.7  97695.3    97494
read      357.8   269.3    68.9   133.1   155.8   319.4   403.2   455.2   493.6   538.7   595.8   686.4   910.3  2062.4  8784.5  97319.4    97350
read      359.1   284.9    68.9   127.3   146.2   323.7   416.1   467.4   503.7   544.3   594.3   673.5   868.2  3113.4  9773.9  55462.0    55460
read      356.7   287.4    68.9   130.5   151.5   317.3   404.4   457.4   496.0   540.9   597.0   685.6   890.4  2200.3  8647.5  85991.6    85984
read      377.9   406.8    63.8   132.0   154.1   326.8   417.1   470.3   510.0   557.2   619.7   721.1  1062.8  4826.8 15619.6  82097.0    82043
read      358.4   304.6    63.8   124.7   143.7   321.6   411.0   461.9   498.6   540.3   591.3   674.3   919.4  3615.4  8849.7  52733.4    52873
read      338.7   414.5    74.4   130.4   150.6   305.5   370.4   406.5   433.4   464.4   505.0   574.4   832.0  4994.8 14734.1  13889.5    13911
read      369.3   362.3    68.9   119.5   137.5   299.6   390.8   445.5   486.0   534.5   600.3   747.3  1624.4  2595.6  9949.5  49793.2    49984
read      373.8   889.7    68.9   137.1   160.3   305.8   362.1   393.7   416.8   443.6   476.5   530.8  1299.7 12507.4 36706.2   9252.7     9274
read      345.5   355.9    68.9   121.6   140.6   305.2   391.8   441.6   474.6   511.5   556.7   632.8   951.0  3902.9 12349.3  27144.9    27187
read      325.6   260.8    68.9   130.1   149.9   303.6   379.3   418.0   443.6   471.0   503.4   548.3   701.6  2651.2  9842.4  18784.2    18735
read      350.4   259.6    63.8   129.2   149.8   310.9   398.1   449.4   486.7   530.9   586.7   677.0   901.8  2098.7  9579.2  86532.5    86505
read      346.4   270.8    68.9   129.2   150.3   307.3   392.0   443.2   480.2   523.8   579.0   667.3   878.8  1980.8  8431.6  93076.9    93039
read      362.8   308.0    63.8   129.8   150.1   319.1   411.0   463.9   502.0   546.2   604.6   699.7   960.4  3103.9  9247.4  76047.1    75999
read      360.3   320.8    68.9   126.1   145.8   320.4   406.5   456.8   492.2   531.5   578.1   649.6  1109.8  4088.3 11306.7  32309.8    32324
read      371.6   391.4    68.9   133.1   154.6   322.1   410.9   465.0   504.6   550.8   611.4   709.4  1028.5  4053.0 12285.1  84185.1    84255
read      358.5   274.5    68.9   131.6   152.1   318.0   406.9   460.3   498.9   543.6   600.1   689.4   911.8  2781.1 10295.0  81873.5    81759
