Timestamp start: 1715968591141
Timestamp end: 1715969271712

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      381.6   788.5    86.8   146.3   174.8   318.4   371.5   401.5   424.1   450.3   484.3   543.8  1636.4 11432.6 29655.4   7356.6     7434
read      449.4   538.5    68.9   132.7   154.7   340.9   433.5   492.0   536.9   592.2   677.9  1082.8  2527.0  4357.2 18549.0  67219.6    67201
read      358.7   279.8    68.9   130.7   152.1   321.5   401.7   450.6   488.0   533.9   592.3   681.9   912.9  2805.9  8577.5  86148.6    85927
read      364.1   248.5    68.9   128.3   147.9   323.0   411.3   463.4   501.2   544.3   597.3   683.2  1258.1  2365.0  6548.5  63972.6    63953
read      344.3   250.9    68.9   122.9   142.7   309.8   394.0   444.5   479.9   517.0   557.7   619.0   984.4  2726.6  8819.3  31587.8    31595
read      363.0   233.2    63.8   134.5   156.8   329.1   410.9   460.0   496.7   540.9   598.3   687.6   908.1  2292.3  7070.7  88006.8    87879
read      380.7  1131.7    74.4   142.5   165.4   288.8   329.7   353.8   371.8   394.5   426.2   486.3  2049.0 20222.5 32124.1   7308.0     7287
read      427.2   562.8    68.9   130.6   151.3   325.8   415.7   471.1   514.5   569.5   652.8  1147.7  2130.7  5858.4 17988.8  62288.6    62295
read      352.9   999.4    74.4   143.4   168.0   284.8   322.7   344.6   362.2   383.4   413.0   462.7  1110.5 19087.2 36769.9   6641.2     6561
read      339.3   373.8    74.4   128.2   148.5   302.5   384.6   429.2   458.6   489.8   526.3   582.3   938.0  4428.3 15993.6  22459.0    22532
read      355.5   266.0    68.9   127.8   147.1   326.7   413.2   462.6   497.5   536.7   583.4   652.3   851.2  2081.6  8066.5  60440.4    60653
read      361.8   276.2    68.9   129.5   149.4   333.0   421.3   470.3   505.3   545.4   593.0   663.4   854.9  1961.8  8299.7  59069.4    59076
read      360.8   259.8    68.9   128.4   147.8   326.5   414.4   464.3   499.9   540.1   588.7   666.0  1083.2  2132.7  7651.8  60167.2    60154
read      328.3   328.0    74.4   126.8   147.2   300.3   381.1   425.5   454.2   483.7   516.1   562.5   692.2  2309.4 18107.6  22950.8    22964
read      318.6   513.1    74.4   138.2   159.7   285.6   325.6   349.0   368.2   392.9   427.3   483.0   760.8  6422.7 28273.1   8256.8     8172
read      353.8   331.4    68.9   125.3   145.7   309.5   397.0   449.9   484.5   521.9   567.4   645.2  1073.3  3405.0 10421.1  27590.0    27652
read      346.3   267.6    68.9   122.6   142.0   318.6   398.4   447.5   482.7   521.4   565.3   625.1   792.8  2163.5 11135.4  37578.6    37594
read      340.4   371.7    68.9   127.1   147.0   307.4   393.3   441.8   473.2   506.0   541.6   588.7   723.4  3855.9 14807.7  24461.2    24367
read      347.6   301.0    68.9   123.8   143.8   318.1   399.3   448.5   482.8   520.4   563.1   623.3   825.0  1998.1  9515.3  33712.8    33771
read      360.4   323.6    68.9   131.9   153.0   323.3   403.7   452.6   489.8   535.7   593.2   680.0   895.1  3060.5 10700.3  84909.4    84944
read      363.1   278.9    68.9   134.1   155.3   326.2   408.4   457.4   494.5   539.8   598.5   687.9   912.2  3404.5  8441.2  85668.8    85666
read      351.1   208.2    68.9   127.1   146.2   327.3   412.8   460.1   493.7   532.0   577.4   639.0   790.5  1850.6  5845.8  51851.6    51918
read      341.5   243.9    68.9   123.7   142.9   317.5   395.1   442.4   475.5   513.1   554.5   612.4   748.8  1571.9  9426.6  34380.8    34406
read      337.4   322.0    68.9   125.7   145.6   308.6   387.5   435.1   467.5   502.5   541.0   590.7   740.8  2116.3  9931.4  28540.8    28664
read      343.1   254.1    68.9   124.1   143.4   320.9   397.0   442.5   474.9   511.6   553.1   611.4   747.1  1886.3  9461.1  38184.4    38289
read      320.0   249.4    74.4   128.5   147.9   298.0   374.8   414.5   440.8   467.9   499.2   541.7   674.5  1562.4  8898.8  20765.2    20658
read      392.4   777.1    74.4   134.0   153.3   318.5   391.6   436.2   472.4   521.5   582.7   670.8  1200.4 10250.0 31948.8  13821.8    13840
read      359.4   234.7    68.9   134.3   156.3   326.6   406.9   455.8   493.0   538.4   594.9   680.6   877.1  2028.3  6950.4  93067.4    93419
read      361.7   298.9    63.8   135.3   158.5   325.9   404.0   452.3   488.7   533.6   591.0   679.9   878.2  2938.2  9780.2  98411.8    98284
read      357.8   250.8    63.8   129.1   149.3   324.8   411.1   461.6   498.6   540.9   593.9   674.1   887.3  1945.7  9432.5  71041.0    71313
read      348.0   258.8    68.9   123.8   143.0   322.9   401.4   447.4   480.9   519.2   563.0   623.3   820.9  2491.7 10150.4  42051.0    42089
read      351.6   236.2    68.9   125.6   144.9   327.4   408.9   456.7   490.1   527.8   572.2   633.8   798.8  2145.0  7400.3  46487.2    46458
read      339.3   253.7    68.9   124.4   143.8   311.9   391.2   437.6   470.6   506.5   546.4   602.0   762.9  1930.2  9448.5  30896.2    30755
read      358.4   277.2    68.9   126.5   146.0   332.7   414.6   460.8   494.1   532.2   578.6   642.7   883.6  2640.1 10049.4  42825.0    42889
read      367.5   284.9    68.9   136.1   158.5   330.8   411.1   459.1   496.1   541.0   600.3   692.7   934.9  2824.6 10120.4  93616.8    93552
read      359.1   248.4    68.9   131.8   151.5   327.5   414.7   463.2   498.7   540.0   590.0   665.3   898.9  2072.6  8346.2  65734.6    65694
read      338.2   312.8    63.8   124.3   144.2   308.3   386.4   434.9   468.6   504.0   542.7   593.8   744.8  2205.3  9465.5  29587.4    29574
read      358.1   342.3    68.9   126.8   145.9   329.7   413.1   459.8   493.6   531.7   577.5   640.3   826.7  3567.2  9963.4  51337.4    51355
read      363.0   223.1    68.9   130.4   150.1   332.5   421.5   472.3   508.7   550.3   602.2   682.2   894.6  1992.1  7272.5  67559.0    67361
read      321.8   300.5    74.4   132.2   151.1   300.3   367.8   402.0   425.1   451.0   482.9   537.6   759.8  2880.9 12485.1  16302.6    16287
read      653.8   660.0    68.9   167.3   215.8   425.9   557.9   693.3   849.6  1409.8  1636.4  1865.2  2579.1  4750.0 17634.2  81379.0    81508
read      359.5   260.6    68.9   133.2   155.0   326.0   405.2   454.7   492.8   538.1   595.9   684.3   870.9  2249.2  8495.6  87579.4    87619
read      373.9   300.5    68.9   136.7   160.6   333.4   414.1   462.0   499.2   545.3   608.6   709.6  1005.9  2987.5 10046.6  99066.2    99068
read      363.0   314.9    68.9   128.4   147.6   334.1   421.0   468.3   502.6   540.9   586.8   653.3   851.5  3018.9  9563.5  51447.0    51267
read      389.6   881.7    80.4   134.9   154.0   313.2   376.6   416.8   449.2   490.3   543.0   624.8  1345.3  9839.4 34101.2  11939.2    11822
read      373.5   306.5    68.9   138.7   162.9   337.0   418.6   467.2   504.8   549.2   609.7   704.4   929.1  2728.8 10153.4  97243.2    97494
read      382.0   504.7    63.8   137.8   161.4   335.1   417.7   466.7   504.7   550.0   612.5   710.5   991.2  4762.8 29810.7  97274.2    97350
read      394.6   322.9    68.9   134.0   154.7   347.9   443.1   496.4   534.0   578.4   635.1   737.3  1468.2  3204.2  8705.7  55376.4    55460
read      384.6   313.9    68.9   138.2   161.1   345.1   432.5   484.8   523.6   569.6   630.3   729.3  1008.9  2686.1  8778.3  85760.6    85984
read      374.7   244.8    68.9   135.0   156.8   337.0   421.7   472.7   512.6   560.9   623.4   719.1   995.6  2659.0  6553.5  82425.4    82043
read      367.7   242.0    63.8   130.2   149.6   340.0   429.4   479.3   514.4   553.6   603.1   678.3   904.0  2137.2  6388.3  52869.8    52873
read      409.4   855.4    74.4   136.1   156.0   328.6   407.0   457.3   500.6   559.1   634.0   735.3  1159.1 11268.2 32748.3  13827.8    13911
read      364.7   263.1    74.4   129.6   149.1   338.6   425.5   473.0   507.3   545.2   591.8   662.5   851.6  2417.2  8810.4  49942.8    49984
read      362.8   603.0    80.4   142.0   163.1   316.6   370.6   406.2   436.3   474.6   521.8   589.1  1013.8  8255.4 29370.9   9335.8     9274
read      425.8   397.0    74.4   137.1   158.4   347.0   441.7   504.3   551.3   623.2   778.7  1030.2  1352.2  5001.3 11788.4  27156.2    27187
read      372.3   686.7    74.4   135.7   155.9   317.5   394.0   434.5   462.0   493.1   532.3   600.1  1147.0  8033.6 31797.1  18675.4    18735
read      381.7   371.7    74.4   137.4   160.0   340.1   424.9   475.1   514.4   561.6   624.2   721.4   970.1  3687.9 10712.6  86552.8    86505
read      391.0   336.1    68.9   141.7   167.3   350.3   433.6   483.4   521.3   569.5   635.1   741.4  1000.4  3853.8 13961.1  93308.8    93039
read      385.3   326.8    68.9   136.8   159.0   347.1   436.0   488.7   527.4   573.3   632.8   728.2   991.5  3141.2  9852.0  76175.6    75999
read      355.1   324.4    68.9   127.8   147.6   327.9   405.8   452.3   485.4   522.7   565.6   625.9   795.6  3288.9 10987.3  32209.6    32324
read      375.9   336.3    68.9   136.1   158.6   338.4   423.0   472.3   510.5   555.2   615.7   707.9   921.9  3724.5 11039.6  84328.4    84255
read      373.2   321.4    68.9   135.2   157.4   336.1   420.1   469.2   507.1   552.7   614.0   706.1   920.2  3674.8 10738.2  81718.6    81759
read      362.0   308.1    68.9   128.2   147.8   336.2   417.3   462.9   495.9   533.7   579.3   641.7   846.8  2706.4 11892.9  37344.6    37291
read      370.9   281.7    68.9   131.8   151.8   340.9   430.7   480.2   515.5   555.3   604.1   674.9   880.6  3001.8  8025.5  53803.0    53818
read      359.3   349.2    74.4   128.8   149.4   327.0   408.2   456.0   489.0   525.7   568.8   629.4   836.7  4932.7 13856.9  30356.8    30297
read      355.9   263.7    68.9   128.7   148.8   330.2   410.6   457.2   490.3   527.7   571.5   631.5   797.1  2715.4  9690.3  31481.8    31569
read      359.7   283.5    68.9   128.1   147.4   332.9   413.8   461.1   494.7   532.7   577.6   639.3   854.7  2755.7  9322.3  38974.0    38927
read      361.6   677.2    86.8   140.7   161.4   312.6   368.8   402.3   429.3   464.0   514.2   590.0  1028.3  6832.3 36389.7  10604.2    10652
read      543.7   455.9    68.9   176.0   227.4   457.7   533.2   588.3   656.7   784.6   921.5  1147.9  2067.0  3737.7 12818.1  98126.0    98119
read      366.2   304.9    68.9   129.3   149.2   340.4   425.3   471.5   505.6   544.2   590.1   656.6   836.5  2937.6  9010.4  48244.8    48176
read      355.6   287.6    68.9   126.8   146.3   328.4   407.1   455.1   489.8   528.1   572.3   633.5   816.1  3598.5 10460.6  34962.8    34929
read      366.8   268.3    68.9   131.4   151.9   333.4   421.7   471.9   509.1   551.8   608.8   691.7   905.4  2524.2  7748.8  69770.4    69735
read      339.6   369.6    74.4   131.7   152.2   307.5   385.4   427.9   455.6   485.3   519.4   567.5   713.5  4520.1 14634.5  20771.6    20753
read      381.4   341.0    68.9   136.8   159.8   342.8   427.4   476.8   514.4   561.4   624.8   722.3   962.5  3433.7 10905.2  84505.8    84642
read      364.1   332.8    68.9   128.6   148.7   337.4   420.6   466.6   500.2   538.3   583.7   649.3   871.9  2660.7 12827.9  42367.4    42333
read      370.5   288.6    68.9   131.7   152.0   338.6   428.8   478.4   514.4   555.2   608.4   684.5   889.7  3006.2  7698.0  61707.0    61587
read      377.8   349.8    68.9   134.3   156.5   339.0   425.1   475.7   514.7   560.7   620.7   714.0   947.6  3761.6 10596.8  78132.2    77998
read      376.3   323.6    68.9   140.3   165.5   339.6   420.4   467.8   505.1   550.1   612.6   711.5   924.4  3230.4 10110.6  97500.2    97625
read      337.6   239.1    68.9   129.6   150.0   308.5   387.4   432.5   462.7   494.8   531.6   582.6   783.1  2958.2  8280.5  23828.8    23781
read      381.6   414.0    68.9   131.8   152.7   339.7   429.4   482.2   520.9   565.7   622.4   709.2   977.1  3807.9 15448.0  66822.4    66723
read      351.7   320.0    68.9   127.3   147.3   324.7   402.7   449.2   481.9   517.8   560.3   622.1   792.2  2997.8  9103.0  31110.6    31016
read      369.1   333.7    68.9   129.5   149.6   342.0   426.6   472.4   505.7   543.5   589.4   657.7   865.1  3750.8 10122.1  47447.4    47394
read      391.5   319.4    68.9   143.5   169.8   355.5   438.1   486.8   524.1   571.3   636.5   745.1   985.0  2695.3  9254.0  95492.8    95335
read      316.1   491.5    86.8   149.0   177.4   281.7   318.2   338.4   353.2   371.1   396.6   441.7   981.6  6777.7 24577.9   5297.6     5252
read      469.3   659.6    68.9   134.8   157.4   361.9   454.5   509.8   554.2   614.1   705.1  1015.7  2714.9  6891.6 30461.7  65638.4    65908
read      410.1   651.8    74.4   134.4   155.5   333.8   425.4   480.4   528.9   599.1   690.3   800.3  1148.8  8866.6 31077.9  16809.2    16889
read      361.0   276.7    68.9   127.7   147.5   336.3   418.6   464.1   497.2   535.1   580.8   644.2   846.3  2697.2 10297.9  42904.6    42912
read      392.4   356.6    68.9   145.6   173.1   354.6   434.0   480.8   517.2   564.1   629.8   739.0   967.8  3844.7 11656.1  99838.2    99898
