Timestamp start: 1715973006660
Timestamp end: 1715973677180

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      370.5   939.8    74.4   138.8   164.0   298.9   346.0   373.2   392.8   415.9   447.0   500.7  2143.4 14573.6 41827.7   7386.8     7434
read      359.2   386.9    68.9   121.1   139.3   295.0   379.5   431.2   469.4   515.7   577.7   694.0  1729.8  3571.3 12412.6  67013.0    67201
read      346.7   281.3    68.9   124.7   144.6   304.3   387.7   438.7   477.3   523.1   581.0   673.1   952.8  2787.4  8222.4  85988.5    85927
read      346.1   267.1    68.9   122.0   140.8   307.2   394.0   444.7   480.7   522.7   575.4   658.5   965.7  2269.6  7466.0  63975.3    63953
read      325.1   317.2    63.8   117.9   135.8   294.6   371.3   417.1   449.3   485.3   527.5   586.7   773.0  3172.2 10273.3  31625.3    31595
read      343.6   294.2    63.8   124.8   145.3   304.5   384.6   434.0   471.6   516.9   575.0   665.0   869.1  2949.0 11290.7  87983.8    87879
read      298.5   511.8    80.4   130.7   153.5   266.8   308.3   330.7   346.4   367.9   395.7   441.5   691.2  6443.0 30788.5   7204.5     7287
read      364.6   339.6    68.9   120.5   138.9   299.0   385.4   437.8   476.4   523.4   588.1   732.0  1700.0  2770.0 11000.1  62260.7    62295
read      294.2   434.8    74.4   136.4   160.8   270.3   307.6   328.2   343.8   362.9   387.2   429.8   620.6  4037.8 21059.8   6613.5     6561
read      340.2   355.3    68.9   121.6   140.3   295.3   377.0   425.6   459.5   499.4   552.9   676.5   938.4  4489.6 13714.5  22423.5    22532
read      342.9   283.1    63.8   121.5   139.9   309.7   395.7   444.5   478.9   518.8   568.7   642.6   842.0  2163.8  9313.6  60505.5    60653
read      340.3   236.2    63.8   121.0   139.2   307.1   393.2   442.6   477.7   518.7   569.2   644.8   895.4  1860.6  7301.9  58931.7    59076
read      348.4   278.1    68.9   122.2   140.7   312.8   401.2   452.3   488.2   529.1   579.6   658.9   882.6  2749.0  8891.7  60224.3    60154
