Timestamp start: 1715971121301
Timestamp end: 1715971791826

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      374.2   907.6    80.4   143.4   170.1   304.4   355.7   383.6   403.1   427.3   457.9   506.6  1647.3 12451.1 32276.4   7400.0     7434
read      376.0   413.3    63.8   126.0   145.4   313.5   397.4   449.0   488.3   536.0   597.0   713.9  1816.4  4198.5 12017.0  67122.8    67201
read      361.4   271.3    68.9   130.0   151.3   320.5   399.8   448.7   486.9   534.3   597.8   697.4  1067.9  2536.4  8931.4  85998.0    85927
read      350.8   244.6    68.9   123.9   142.9   312.7   395.9   446.5   484.1   527.6   580.7   662.4  1114.4  2322.2  5881.2  63953.2    63953
read      334.3   233.5    68.9   121.7   140.8   307.0   382.5   428.6   461.6   498.6   541.1   600.5   841.5  1676.4  9153.1  31507.5    31595
read      347.6   257.8    68.9   126.3   147.2   313.4   391.0   436.6   472.7   518.7   580.6   674.9   889.0  1966.5  8534.1  87814.3    87879
read      336.9   765.8    74.4   135.6   160.0   283.9   325.1   348.8   367.5   390.0   419.8   471.2  1111.8  9244.6 31979.9   7259.3     7287
read      373.4   379.2    68.9   123.1   143.0   310.0   394.0   444.8   484.2   531.9   593.3   731.9  1719.9  2745.4 13005.0  62123.2    62295
read      286.3   368.8    80.4   136.3   159.4   265.5   301.5   320.4   335.2   352.1   375.0   419.3   580.6  4859.8 16081.9   6562.8     6561
read      358.7   634.7    68.9   122.3   141.2   297.0   374.2   422.1   456.4   497.4   559.6   721.5  1050.0  5746.3 31234.1  22377.0    22532
read      343.7   300.4    68.9   120.9   140.3   315.0   393.2   438.3   472.3   512.3   562.7   635.6   869.7  2106.7 10675.0  60663.7    60653
read      342.2   250.0    68.9   121.9   141.1   312.3   393.2   442.0   478.4   519.4   568.8   639.2   852.0  1911.0  7310.3  59365.0    59076
read      350.5   246.8    68.9   125.0   144.0   318.7   405.9   457.8   494.2   535.5   584.3   656.2   839.2  1954.5  8351.3  60075.7    60154
read      324.0   309.4    68.9   124.6   143.6   298.7   376.7   420.4   449.6   480.2   514.1   563.6   699.7  1539.8 13670.8  23013.2    22964
read      360.3   872.8    74.4   132.4   158.0   297.2   347.6   378.0   399.9   425.7   458.7   509.8  1098.0 13240.2 31933.8   8201.7     8172
read      361.3   504.3    63.8   120.2   139.2   297.4   372.7   423.7   462.0   508.5   587.7   821.3  1128.4  5207.0 30409.1  27558.3    27652
read      332.0   251.0    68.9   119.0   137.8   308.7   379.2   423.1   455.3   492.0   536.3   596.5   779.0  2061.7  7575.6  37680.5    37594
read      316.6   225.8    68.9   121.2   140.2   292.4   364.9   407.7   436.8   467.7   504.2   554.3   702.1  2033.0  8108.1  24363.0    24367
read      329.2   225.4    68.9   119.7   138.1   304.2   380.9   428.6   462.4   498.9   539.9   592.9   729.3  1674.6  6414.5  33658.0    33771
read      353.8   283.1    68.9   128.2   148.9   316.8   394.9   443.0   482.0   530.6   592.8   684.4   905.2  2362.3  9254.3  84805.8    84944
read      347.1   228.0    68.9   126.8   147.8   314.8   392.3   438.7   475.3   522.6   583.8   674.7   864.5  1787.8  7694.2  85911.8    85666
read      345.7   239.2    68.9   126.0   145.2   318.5   399.3   445.7   480.1   520.0   567.4   635.2   819.2  2066.0  8092.8  52050.7    51918
read      330.3   211.1    68.9   122.3   141.1   307.7   380.0   424.8   457.6   494.7   538.0   593.9   761.0  1466.1  7604.5  34434.3    34406
read      322.4   308.3    63.8   119.9   138.7   297.6   367.6   411.0   442.0   475.7   516.1   571.7   719.5  1718.3 13343.1  28621.7    28664
read      337.6   297.3    68.9   120.6   139.5   312.0   383.0   425.8   457.6   495.0   539.4   606.5   808.1  3108.0 11785.2  38302.5    38289
read      307.6   285.1    68.9   123.0   142.1   287.9   351.6   389.4   415.5   444.7   478.0   527.5   643.8  1493.2 11855.8  20582.8    20658
read      337.3   386.5    74.4   123.8   142.3   300.8   366.9   406.5   438.2   479.6   535.5   618.9   819.9  4775.5 12825.8  13861.2    13840
read      355.7   291.5    68.9   127.8   149.8   317.9   395.0   441.2   478.0   525.0   586.5   686.0   929.3  2745.0  9491.6  93486.7    93419
read      349.0   268.5    68.9   128.5   150.5   313.7   389.6   434.9   470.5   517.1   579.5   674.2   876.4  2511.5  7713.3  98453.5    98284
read      347.7   294.0    68.9   123.1   142.5   313.6   395.3   443.5   479.6   523.8   578.8   661.3   899.2  2081.2  8953.8  71396.2    71313
read      335.9   234.0    63.8   121.4   139.9   313.1   390.2   435.9   469.1   506.8   551.2   613.5   761.3  1404.4  8118.2  42072.0    42089
read      340.8   285.9    68.9   121.3   140.0   312.8   392.0   438.3   472.5   511.7   556.6   621.0   788.9  2292.5 10106.0  46558.2    46458
read      326.8   203.6    68.9   119.6   138.6   302.6   377.9   424.7   457.2   493.2   534.6   589.5   736.1  1468.2  7340.3  30762.3    30755
read      341.0   243.5    68.9   121.9   140.8   315.4   394.2   441.1   475.1   513.4   558.9   622.3   784.9  2020.3  7679.2  43024.2    42889
read      355.4   279.2    68.9   129.7   151.6   317.0   393.8   441.1   478.4   526.1   588.5   684.9   923.0  2843.7  9406.7  93475.0    93552
read      351.4   543.8    68.9   125.2   144.2   318.1   400.7   451.1   487.9   531.0   582.9   660.4   855.7  2383.0  8809.6  65707.5    65694
read      329.8   340.6    68.9   121.7   140.9   301.1   372.0   416.2   447.7   482.9   523.9   581.9   743.4  3654.0 11472.1  29415.3    29574
read      343.3   228.1    68.9   123.4   142.8   316.8   395.9   442.2   475.8   515.1   562.6   630.7   824.8  1902.1  8214.6  51403.5    51355
read      381.8   383.7    68.9   128.1   148.7   330.5   418.3   468.9   508.5   556.2   619.7   730.3  1436.5  3818.5 11155.7  67402.5    67361
read      383.4   659.9    74.4   127.8   147.4   311.1   390.6   439.5   482.0   540.8   629.0   742.2  1076.5  8189.8 31793.8  16214.7    16287
read      363.2   271.5    63.8   129.0   150.3   327.0   408.0   457.2   494.7   541.4   606.1   706.2   939.4  2544.7  7660.4  81517.0    81508
read      364.5   342.8    68.9   130.7   152.7   327.1   407.2   455.6   492.9   539.8   603.5   704.6   924.2  2869.0 11195.2  87534.7    87619
read      368.1   286.0    68.9   134.6   158.9   331.2   410.5   458.7   495.2   541.1   604.0   705.2   929.1  2624.7 10336.3  99271.8    99068
read      355.3   242.0    68.9   126.0   145.3   327.3   410.9   459.1   494.3   534.5   583.6   659.2   868.1  1971.9  8072.7  51274.5    51267
read      370.8   654.4    80.4   131.9   151.9   311.8   374.9   416.4   450.0   491.9   546.0   632.6  1136.9  8926.2 30979.5  11882.5    11822
read      466.2   410.3    63.8   148.4   181.3   412.5   519.2   580.6   625.9   681.7   763.1   938.3  1378.6  4330.1 12434.8  97570.3    97494
read      422.2   464.0    68.9   142.3   171.7   376.0   465.9   517.8   559.2   614.5   692.9   837.3  1181.3  3529.7 12352.2  97169.3    97350
read      364.5   314.8    68.9   126.6   146.0   326.8   410.4   459.3   495.3   537.5   589.9   673.8  1014.4  3892.3  9170.3  55548.0    55460
read      356.9   258.7    63.8   129.3   150.7   324.0   403.2   451.4   488.1   533.9   594.6   689.5   886.9  1938.2  6967.1  85807.8    85984
read      362.2   282.3    68.9   128.9   150.3   327.0   407.4   455.5   492.5   539.1   602.2   700.5   911.9  2967.1  9786.6  81900.7    82043
