Timestamp start: 1715967575554
Timestamp end: 1715968376121

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      369.1   710.8    80.4   148.5   176.2   317.6   368.8   395.8   415.6   438.6   470.1   526.3  1553.8  9068.4 31455.1   7325.4     7434
read      363.6   305.5    63.8   127.4   146.8   313.6   400.3   453.7   492.5   537.6   592.2   682.4  1532.2  2697.6  7717.3  67194.8    67201
read      352.6   252.2    68.9   130.0   150.7   315.4   394.1   443.2   482.4   531.6   593.1   682.5   898.5  2414.8  6885.6  85787.2    85927
read      371.5  1175.9    68.9   125.7   144.3   314.4   400.3   451.9   488.9   532.1   583.2   658.4   984.6  3260.9 64698.7  63822.2    63953
read      340.3   254.4    68.9   122.5   142.2   310.5   392.4   441.0   475.0   511.9   553.2   614.4   786.7  2249.7  7862.9  31498.4    31595
read      349.8   228.7    68.9   130.4   151.1   315.2   394.2   443.3   480.9   527.9   587.7   676.1   886.2  1925.6  7536.3  87997.0    87879
read      328.6   674.6    80.4   143.6   166.9   288.5   327.4   348.8   365.6   385.9   414.0   463.6  1021.8  6401.9 31554.4   7220.4     7287
read      363.6   299.3    68.9   125.9   144.3   311.1   398.4   451.1   489.6   535.2   591.9   686.5  1609.8  2324.1  8721.4  62211.6    62295
read      362.5   878.2    80.4   148.0   173.8   296.4   338.6   362.8   380.5   402.3   431.6   484.4  1484.6 10186.3 32181.9   6558.0     6561
read      352.7   351.3    68.9   127.7   147.7   305.0   399.3   448.5   480.4   515.9   563.8   683.2  1008.2  3254.8 10867.2  22512.4    22532
read      358.7   284.6    68.9   126.5   145.2   315.9   402.4   454.3   491.7   534.0   585.0   668.4  1187.3  2780.9  7864.9  60554.8    60653
read      354.0   314.3    68.9   125.5   144.3   317.3   403.7   455.1   491.8   533.1   582.3   655.1   938.3  2842.6  9144.5  58948.0    59076
read      348.1   285.8    68.9   125.8   144.2   316.0   401.3   451.9   488.1   529.1   577.7   644.8   818.0  1936.7 10828.9  60169.8    60154
read      327.5   285.5    68.9   126.4   145.6   298.2   380.5   425.3   454.1   483.9   517.3   563.1   699.9  3661.3 12777.6  22867.0    22964
read      364.8   939.4    80.4   139.1   162.7   296.0   343.5   370.7   391.4   416.1   448.8   501.4  1516.8 11993.9 31977.9   8163.6     8172
read      360.9   392.0    68.9   125.1   144.6   303.9   394.4   449.8   488.0   531.4   588.5   752.1  1096.3  4317.9 16375.9  27512.6    27652
read      336.0   244.5    68.9   122.0   140.5   308.7   386.6   435.2   470.1   509.2   553.4   613.9   767.8  1571.7  9418.7  37489.0    37594
read      327.2   305.5    63.8   125.1   144.6   295.9   377.3   423.3   453.5   485.1   520.2   568.9   726.6  3629.9 10024.9  24402.2    24367
read      334.9   292.0    68.9   121.8   140.2   304.3   384.7   433.0   467.2   504.5   546.0   599.5   745.0  2506.8  9530.2  33710.4    33771
read      352.0   279.8    63.8   130.2   151.3   315.1   395.2   444.3   482.6   529.5   588.6   675.4   865.8  2241.2  8933.6  84739.8    84944
read      355.6   258.3    68.9   131.5   152.5   319.2   398.0   447.3   486.1   534.1   594.1   683.2   882.4  2523.0  8378.8  85696.2    85666
read      349.4   235.2    68.9   125.3   144.0   321.1   406.5   456.0   491.6   531.6   578.8   643.0   798.1  2089.7  8081.5  51911.8    51918
read      340.0   262.7    68.9   122.6   141.2   309.2   390.4   440.9   477.3   516.4   559.6   618.4   748.7  2487.2  9316.1  34523.2    34406
read      333.8   251.6    74.4   122.9   142.7   300.2   385.3   437.7   473.2   509.8   548.9   604.1   748.2  1751.3  7665.6  28712.4    28664
read      340.5   237.6    68.9   121.8   140.5   310.7   391.8   442.4   478.9   518.9   564.3   625.6   784.3  1698.7 10194.2  38464.2    38289
read      329.3   363.7    74.4   128.0   147.4   300.3   383.2   425.6   452.7   481.2   513.4   557.6   663.9  3741.3 13545.0  20693.4    20658
