Timestamp start: 1715969443720
Timestamp end: 1715970124292

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      377.5   776.7    86.8   142.9   170.5   309.8   360.1   389.3   410.2   436.0   470.2   533.1  1731.2  8768.8 31253.3   7385.2     7434
read      475.0   784.6    63.8   131.4   154.2   336.7   424.7   481.3   526.8   585.4   681.0  1170.7  3336.1  7279.6 31609.7  66979.2    67201
read      356.7   265.6    63.8   128.2   149.6   321.1   402.1   451.9   489.6   535.6   593.5   683.8   893.2  2620.4  9497.3  85970.4    85927
read      366.3   325.7    63.8   125.6   144.9   321.7   408.3   459.6   497.5   541.3   596.3   688.0  1268.9  3102.3  7987.0  64038.2    63953
read      343.4   346.2    68.9   120.2   139.6   308.4   385.2   433.3   467.9   506.3   549.5   620.0  1036.2  2676.5 15200.5  31550.4    31595
read      360.7   259.0    68.9   129.3   151.5   324.8   406.0   455.5   493.2   539.7   600.3   691.4   925.7  2204.9  8282.6  87868.8    87879
read      331.6   471.0    80.4   140.7   166.3   292.1   334.3   358.7   376.6   399.2   431.2   483.8  1052.2  7341.8 17147.0   7305.6     7287
read      370.6   280.1    68.9   127.1   146.8   328.1   416.1   468.3   506.6   550.0   607.5   699.4  1330.6  2515.5  7914.8  62185.6    62295
read      328.7   693.9    86.8   143.8   169.9   283.4   321.7   344.5   362.8   383.9   411.1   460.5  1021.7  7715.3 31410.7   6621.8     6561
read      353.0   456.5    68.9   126.3   146.4   306.4   387.8   432.5   462.3   495.7   538.0   614.3  1037.9  6166.9 15740.3  22396.6    22532
read      349.8   232.3    68.9   124.4   143.9   322.1   407.3   456.6   491.9   532.5   581.4   651.1   805.5  1905.7  8029.2  60552.4    60653
read      353.6   289.8    63.8   124.1   143.4   322.2   407.0   456.7   492.5   533.8   583.6   657.4   860.6  2369.0 11229.2  59182.4    59076
read      358.0   255.1    63.8   124.3   143.7   322.7   409.4   459.9   496.6   539.0   590.7   671.0  1079.6  2120.9  9557.9  60135.6    60154
read      327.5   307.1    68.9   123.9   144.2   301.5   381.5   424.9   453.6   484.1   518.6   566.3   687.2  2355.7 15648.4  23095.6    22964
read      384.4   962.8    80.4   137.3   165.5   309.1   362.1   392.9   415.4   441.9   475.8   534.6  1956.1 10012.0 32393.5   8171.2     8172
read      356.7   358.4    68.9   122.0   142.1   310.4   392.8   443.0   478.3   517.4   567.2   677.3  1122.4  4286.2 11995.3  27545.8    27652
read      344.4   270.9    68.9   120.7   140.0   316.7   395.4   441.2   474.4   512.7   556.3   621.0   843.0  2689.9  9536.0  37664.6    37594
