Pseudo-terminal will not be allocated because stdin is not a terminal.
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      344.9   226.4   160.7   222.7   237.6   318.5   364.5   392.3   413.0   437.8   470.5   522.2   639.3  1918.0  8723.1  30166.3    30185  1715431145933  1715431156059
read      329.9   193.8   160.7   218.3   230.7   303.2   344.3   371.5   393.0   419.5   455.1   506.5   624.9  1765.2  8096.1  30141.5    30190  1715431157568  1715431167682
read      343.1   230.9   160.7   218.9   232.3   315.1   361.9   390.3   411.4   437.3   471.8   529.8   666.6  2324.5 10419.4  30174.5    30195  1715431169190  1715431179307
read      342.7   187.6   160.7   221.7   236.4   317.5   364.0   391.8   412.5   437.3   471.0   526.0   641.1  1374.4  8282.3  30142.8    30200  1715431180816  1715431190929
read      342.0   192.4   148.8   219.5   233.8   316.3   362.6   390.7   411.3   435.9   468.8   523.0   645.1  2220.3  7949.6  30289.8    30205  1715431192436  1715431202554
read      344.2   222.0   160.7   224.1   239.0   316.4   361.7   389.8   410.5   436.1   470.0   523.3   634.8  2059.8  8717.1  30147.4    30210  1715431204063  1715431214181
read      341.9   233.0   160.7   224.5   238.8   313.8   356.7   384.1   404.1   430.9   465.1   516.1   630.7  2415.9  9482.2  30176.9    30215  1715431215689  1715431225806
read      345.1   236.8   160.7   220.3   234.5   315.5   363.1   392.2   414.0   440.3   475.2   531.5   662.6  2396.1 10427.7  30296.3    30220  1715431227314  1715431237441
read      334.5   194.8   148.8   217.5   230.5   307.2   352.3   381.1   402.3   430.0   464.8   518.4   637.6  1422.3  8296.8  30126.2    30225  1715431238950  1715431249067
read      341.1   235.9   148.8   220.2   233.5   312.4   359.4   387.9   408.7   434.8   468.6   521.7   652.1  2085.8 10944.3  30257.7    30230  1715431250576  1715431260685
read      332.5   249.0   160.7   219.7   231.4   302.7   344.9   372.7   394.8   421.9   456.9   507.2   620.8  2278.1 12097.5  30132.1    30235  1715431262192  1715431272309
