Pseudo-terminal will not be allocated because stdin is not a terminal.
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      366.5   241.8   160.7   235.0   250.9   344.5   391.2   417.5   436.0   460.2   490.8   538.0   646.0  2526.9 10566.5  30088.9    30180  1715181164051  1715181174169
read      361.1   229.9   160.7   234.5   250.0   338.4   383.9   410.2   430.3   454.7   485.9   534.0   633.8  2119.7 10466.8  30175.3    30185  1715181175678  1715181185790
read      354.7   204.3   160.7   230.6   246.5   335.2   379.4   404.0   423.8   446.4   474.7   519.7   616.6  1579.7  8632.4  30182.8    30190  1715181187297  1715181197411
read      367.5   216.8   160.7   231.8   248.8   347.1   395.1   422.0   440.9   464.5   495.9   542.7   649.7  2094.0  8701.8  30262.7    30195  1715181198920  1715181209041
read      362.1   224.1   160.7   235.0   250.5   340.3   386.0   412.1   431.8   456.5   488.4   536.7   631.2  1906.1  9055.5  30245.7    30200  1715181210548  1715181220667
read      399.7   341.3   160.7   238.5   256.2   359.9   412.5   443.6   467.3   498.2   539.5   611.3   904.8  5860.3 12206.5  30155.0    30205  1715181222174  1715181232295
read      403.0   576.1   173.5   231.9   248.0   347.7   398.8   430.0   454.6   484.8   526.3   591.2   937.8  9161.5 25047.3  30119.3    30210  1715181233803  1715181243921
read     1206.1 33067.7   173.5   258.4   284.4   459.3   547.3   594.2   628.6   669.7   724.1   815.1  1834.6 16986.7 1725462.2  29803.9    30215  1715181245427  1715181255556
read      386.9   326.0   160.7   232.4   248.8   345.1   395.9   426.4   449.7   477.8   517.1   586.8  1011.9  4772.2 12149.2  30217.4    30220  1715181257066  1715181267190
read      378.9   290.9   160.7   231.6   247.7   345.1   394.4   423.6   445.6   471.8   509.5   574.3   777.5  4474.4  8889.8  30292.7    30225  1715181268698  1715181278817
read      387.7   404.4   173.5   235.4   250.7   345.4   394.5   423.4   445.3   471.7   509.0   571.3   815.4  6417.5 15920.7  30219.9    30230  1715181280324  1715181290450
read     1256.9 38792.3   173.5   254.1   278.1   438.9   518.3   560.2   589.5   625.2   672.7   748.8  1005.9 15628.3 2021290.5  30238.1    30235  1715181291956  1715181302074
read      389.6   333.6   160.7   232.3   250.8   356.6   406.7   435.7   458.4   485.0   520.8   581.8   811.3  5789.4 12196.4  30263.6    30240  1715181303581  1715181313703
read      405.4   379.0   160.7   238.6   256.2   363.3   417.2   449.0   471.9   503.1   544.2   616.5   942.9  5488.8 12609.0  30245.2    30245  1715181315212  1715181325335
read      379.5   327.0   160.7   232.0   248.1   345.5   395.0   424.2   446.3   472.2   508.9   567.7   738.1  4837.1 12502.8  30158.3    30250  1715181326843  1715181336963
read     1695.0 52010.2   173.5   241.8   264.7   424.8   519.0   565.3   596.5   634.6   686.9   787.9  1692.0 71068.7 2553289.4  26163.6    30255  1715181338471  1715181348590
read      376.8   266.7   160.7   232.4   249.2   345.2   393.6   422.0   443.2   468.9   504.3   564.0   794.2  4075.8  9959.3  30253.7    30260  1715181350097  1715181360212
read      361.2   204.4   160.7   231.9   247.7   340.0   387.2   414.0   433.8   458.5   489.6   536.1   634.6  1890.7  8414.3  30240.2    30265  1715181361720  1715181371844
read      365.5   208.4   160.7   233.4   249.8   346.1   393.0   419.6   438.5   463.0   494.0   539.6   641.1  1694.1  8861.9  30287.2    30270  1715181373353  1715181383467
read      396.4   372.4   160.7   233.7   251.2   354.1   404.5   435.0   459.2   489.1   531.3   605.8   961.1  5474.4 16111.0  30245.2    30275  1715181384975  1715181395094
read      385.8   454.5   160.7   232.6   247.8   341.5   390.1   419.1   440.8   468.5   506.4   571.1   789.2  7625.4 18942.7  30198.3    30280  1715181396601  1715181406727
read      453.7  1110.0   160.7   235.6   254.2   369.9   429.1   465.2   494.6   532.0   584.2   679.6  1103.0 13088.9 53052.9  22415.7    30285  1715181408237  1715181418353
read      371.5   218.1   160.7   234.5   250.9   346.5   394.2   422.2   442.8   468.1   502.3   555.4   709.3  2877.0  8551.6  30331.7    30290  1715181419860  1715181429980
read      369.2   216.1   160.7   232.7   249.7   348.6   395.9   422.8   442.4   466.6   499.3   547.5   665.1  1992.5  8945.1  30339.6    30295  1715181431489  1715181441603
read      356.6   204.9   160.7   230.9   246.5   335.5   380.5   405.6   425.8   449.4   479.9   527.3   627.5  2049.9  8520.2  30318.5    30300  1715181443110  1715181453228
read      345.7   190.1   160.7   228.2   243.4   324.5   365.6   390.1   408.0   432.2   463.9   509.5   616.9  1711.0  8443.9  30236.6    30305  1715181454736  1715181464854
read      365.7   238.2   160.7   233.4   249.8   344.1   390.5   417.0   435.9   460.4   491.2   537.5   645.6  2553.9 11369.1  30332.0    30310  1715181466362  1715181476483
read      355.8   192.6   160.7   229.1   245.4   335.8   380.7   406.2   426.9   451.2   481.9   529.1   633.0  1273.9  8087.7  30243.7    30315  1715181477994  1715181488117
read      357.6   227.2   160.7   227.9   244.4   335.9   381.1   406.4   427.2   451.6   482.6   531.0   639.4  2100.1  9797.7  30398.0    30320  1715181489626  1715181499754
read      366.9   298.9   160.7   229.6   244.5   330.2   374.2   400.8   422.5   449.1   486.0   545.8   798.4  4237.1 11783.9  30383.9    30325  1715181501262  1715181511380
read      394.3   310.8   173.5   233.2   250.9   360.3   414.8   447.2   470.7   501.8   541.2   603.6   797.2  4362.9  9484.6  30318.6    30330  1715181512887  1715181523001
read     1488.8 47268.3   160.7   254.6   279.8   466.5   550.0   590.5   620.4   655.2   702.6   789.8  1502.4 18558.8 2374354.7  29193.7    30335  1715181524510  1715181534631
read      360.0   233.4   173.5   232.6   247.7   331.5   374.1   399.9   420.4   445.0   478.3   532.7   717.6  3560.5  7966.2  30450.5    30340  1715181536138  1715181546262
read      355.5   241.8   173.5   235.9   250.4   331.6   373.2   398.5   418.3   441.9   473.2   524.0   627.7  2692.6  8601.1  30264.4    30345  1715181547770  1715181557891
read      374.8   204.3   173.5   240.8   258.4   355.3   402.4   429.9   450.2   472.4   503.8   547.7   648.7  1852.2  9618.1  30359.2    30350  1715181559401  1715181569522
read      365.2   214.9   160.7   236.7   253.1   344.5   390.6   416.9   435.6   460.3   491.4   538.0   641.5  1580.4 10183.5  30365.8    30355  1715181571035  1715181581149
read      358.1   203.9   160.7   236.7   252.2   338.2   381.1   404.7   424.2   446.6   475.8   522.8   623.3  1762.9 10312.9  30342.8    30360  1715181582659  1715181592776
read      365.2   222.8   173.5   235.7   251.6   343.8   390.0   416.0   434.9   459.4   490.4   537.5   645.7  2018.5 10683.2  30328.4    30365  1715181594282  1715181604400
read      374.0   224.5   160.7   234.5   252.3   353.8   402.3   430.1   450.6   473.2   504.0   548.3   657.4  2321.9 10293.8  30303.7    30370  1715181605907  1715181616030
read      364.6   197.2   160.7   230.7   247.7   343.9   391.4   418.5   438.0   463.6   496.2   543.8   656.9  1753.9  8375.3  30373.5    30375  1715181617540  1715181627656
read      367.4   210.4   160.7   234.9   251.1   346.9   393.4   419.6   438.1   463.0   495.0   542.9   656.5  2159.2  8390.1  30448.7    30380  1715181629167  1715181639281
read      366.0   201.7   160.7   232.8   249.2   345.5   393.0   419.6   438.3   463.2   495.4   542.8   654.0  1877.5  8659.1  30424.6    30385  1715181640789  1715181650912
read      351.6   189.7   173.5   232.2   247.3   330.8   372.4   397.0   415.8   437.6   468.8   516.3   623.5  1996.8  8253.5  30313.7    30390  1715181652420  1715181662558
read      349.5   190.9   160.7   229.3   244.9   328.7   370.7   395.6   414.5   436.8   469.1   517.1   622.5  1565.6  8429.7  30413.8    30395  1715181664067  1715181674182
read      367.7   199.7   160.7   231.3   248.6   348.2   396.4   423.7   443.4   467.5   499.1   545.0   655.0  1594.6  8571.5  30368.7    30400  1715181675691  1715181685811
read      385.7   306.6   160.7   237.1   254.2   349.5   397.3   425.6   447.0   473.1   509.3   578.0   863.9  4256.6 12517.9  30407.4    30405  1715181687319  1715181697433
read      372.8   357.8   173.5   232.4   247.8   336.4   382.3   409.0   430.2   457.7   494.1   548.4   714.2  5265.7 14060.0  30502.8    30410  1715181698940  1715181709066
read      392.8   444.7   160.7   228.5   245.1   345.6   396.7   427.1   450.8   479.6   518.9   583.5   909.9  6631.2 16041.2  30279.9    30415  1715181710572  1715181720685
read     2197.2 77389.4   173.5   304.5   339.4   543.5   618.6   658.7   687.1   723.9   772.0   855.3  1418.7 20661.9 3774819.9  28042.7    30420  1715181722194  1715181732317
read      391.5   374.3   160.7   233.7   251.3   356.7   406.4   435.5   458.9   486.5   523.1   584.8   798.2  5569.5 15115.4  30414.3    30425  1715181733825  1715181743946
read      356.5   196.6   173.5   229.3   245.2   336.4   382.1   407.6   427.5   451.4   482.2   529.8   630.0  1792.8  8122.8  30433.8    30430  1715181745455  1715181755574
read      367.3   190.1   160.7   232.0   249.4   348.6   396.7   423.7   443.1   466.7   497.7   542.8   646.0  1814.6  7991.3  30376.0    30435  1715181757082  1715181767209
read      352.9   221.2   160.7   228.4   244.0   331.1   374.3   399.7   419.2   441.6   471.2   517.2   620.9  2577.5 10112.5  30480.4    30440  1715181768717  1715181778836
read      362.3   278.6   160.7   228.9   245.4   339.7   386.6   412.8   432.3   457.2   488.9   536.7   640.5  2345.9 13523.8  30469.3    30445  1715181780343  1715181790461
read      356.5   203.1   160.7   229.4   245.8   335.9   380.5   405.2   425.3   448.9   479.5   527.0   635.5  1702.9  8579.6  30472.3    30450  1715181791970  1715181802095
read      359.0   202.9   160.7   229.1   245.3   338.7   385.0   410.8   430.3   454.6   485.3   531.9   633.3  1994.6  8387.0  30528.1    30455  1715181803602  1715181813716
read      347.7   194.0   160.7   227.9   243.1   325.5   368.0   393.4   412.3   435.3   468.5   519.0   621.6  1845.5  8524.4  30533.6    30460  1715181815224  1715181825341
read      360.8   204.7   160.7   229.8   246.4   341.1   386.7   411.8   430.7   454.6   485.4   532.6   644.6  2096.8  8620.2  30395.7    30465  1715181826851  1715181836972
read      348.1   202.4   160.7   228.0   243.2   326.1   368.9   394.3   413.2   436.0   468.7   518.0   623.2  1689.5  8617.4  30452.0    30470  1715181838482  1715181848597
read      354.8   213.5   160.7   227.0   242.8   333.8   378.9   403.7   424.0   447.4   477.6   525.4   633.4  1907.6  8779.6  30542.3    30475  1715181850106  1715181860224
read      362.7   202.4   160.7   226.7   243.4   343.0   390.9   417.8   436.8   462.2   494.5   542.2   657.1  1634.4  8446.6  30546.5    30480  1715181861732  1715181871849
read      358.2   194.3   160.7   229.8   246.5   338.9   384.4   409.7   428.9   452.5   483.0   530.2   633.1  1635.2  8067.5  30445.6    30485  1715181873355  1715181883471
read      355.6   194.1   160.7   229.1   245.2   335.9   380.5   404.8   424.5   447.4   477.4   524.9   634.2  1955.4  8401.7  30548.7    30490  1715181884979  1715181895110
read      344.3   207.0   160.7   228.0   242.9   322.8   363.8   387.9   404.8   429.2   461.2   508.8   611.2  1618.6  8911.1  30484.5    30495  1715181896619  1715181906738
read      354.3   205.1   160.7   229.0   244.9   333.9   378.0   402.6   422.4   445.0   474.4   522.2   627.6  1947.7  8348.7  30495.0    30500  1715181908246  1715181918362
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 83.50%,1.00%,100.00%
